,tiempoEnvio,tiempoRecepcion,tiempoServer,estado,accion,recibido
874,1658418830940,1658418830956.0,1658418830965.0,b'\xfe\xfe\xd0\xf2\xf5\xf4\xff\xdc\xc9\xf7\xf2\xf2\x99\xca\xf1\xfc\xf6\xf3\xe8\xb4\xfb\xfb\xf5\xf2\xfc\x98\xf6\xf8\xf4\xee\xf4\x9d\xe1\xf6\xf5\xf1\xf7\xd0\x9c\xf9\xf9\xf6\xff\xeb\x99\xfe\xff\xfd',0.0,True
875,1658418830963,,,b'\xf8\xfb\xf9\xf4\xf0\xdd\xf8\xbf\xfa\xf7\xef\xba\xf4\xf8\xb6\xf7\xee\xb7\xed\xf4\x96\xf9\xf4\xd3\xf4\xf6\xec\xf4\xfc\xef\xf8\xfa\xfe\x92\xfd\xf6\xfa\xfc\xffq\xff\xf9\xfc\xfd\xfet\xfe\xf8',,False
876,1658418830963,1658418830996.0,1658418830987.0,b'\xf8\xfb\xf9\xf4\xf0\xdd\xf8\xbf\xfa\xf7\xef\xba\xf4\xf8\xb6\xf7\xee\xb7\xed\xf4\x96\xf9\xf4\xd3\xf4\xf6\xec\xf4\xfc\xef\xf8\xfa\xfe\x92\xfd\xf6\xfa\xfc\xffq\xff\xf9\xfc\xfd\xfet\xfe\xf8',0.0,True
877,1658418831006,,,b'\xf8\xfb\xf9\xf4\xf0\xdd\xf8\xbf\xfa\xf7\xef\xba\xf4\xf8\xb6\xf7\xee\xb7\xed\xf4\x96\xf9\xf4\xd3\xf4\xf6\xec\xf4\xfc\xef\xf8\xfa\xfe\x92\xfd\xf6\xfa\xfc\xffq\xff\xf9\xfc\xfd\xfet\xfe\xf8',,False
878,1658418831006,1658418831240.0,1658418831031.0,b'\xf8\xfb\xf9\xf4\xf0\xdd\xf8\xbf\xfa\xf7\xef\xba\xf4\xf8\xb6\xf7\xee\xb7\xed\xf4\x96\xf9\xf4\xd3\xf4\xf6\xec\xf4\xfc\xef\xf8\xfa\xfe\x92\xfd\xf6\xfa\xfc\xffq\xff\xf9\xfc\xfd\xfet\xfe\xf8',0.0,True
879,1658418831320,,,b'\xf7\xfa\xf9\xf3\xf1\xef\xf9\xc6\xfc\xf9\xf2\xf1\xf7\xfb\xbd\xf7\xef\xee\xee\xef\xa2\xf6\xf3\xe9\xf2\xf4\xf8\xe1\xfc\xf3\xf7\xfa\xff\x7f\xfc\xf5\xfa\xfc\xffs\xff\xf8\xfc\xfd\xfew\xff\xfa',,False
880,1658418831320,1658418831384.0,1658418831347.0,b'\xf7\xfa\xf9\xf3\xf1\xef\xf9\xc6\xfc\xf9\xf2\xf1\xf7\xfb\xbd\xf7\xef\xee\xee\xef\xa2\xf6\xf3\xe9\xf2\xf4\xf8\xe1\xfc\xf3\xf7\xfa\xff\x7f\xfc\xf5\xfa\xfc\xffs\xff\xf8\xfc\xfd\xfew\xff\xfa',0.0,True
881,1658418831436,,,b'\xf7\xfa\xf9\xf3\xf1\xef\xf9\xc6\xfc\xf9\xf2\xf1\xf7\xfb\xbd\xf7\xef\xee\xee\xef\xa2\xf6\xf3\xe9\xf2\xf4\xf8\xe1\xfc\xf3\xf7\xfa\xff\x7f\xfc\xf5\xfa\xfc\xffs\xff\xf8\xfc\xfd\xfew\xff\xfa',,False
882,1658418831436,1658418831510.0,1658418831460.0,b'\xf7\xfa\xf9\xf3\xf1\xef\xf9\xc6\xfc\xf9\xf2\xf1\xf7\xfb\xbd\xf7\xef\xee\xee\xef\xa2\xf6\xf3\xe9\xf2\xf4\xf8\xe1\xfc\xf3\xf7\xfa\xff\x7f\xfc\xf5\xfa\xfc\xffs\xff\xf8\xfc\xfd\xfew\xff\xfa',2.0,True
883,1658418831555,,,b'\xf7\xfa\xf9\xf3\xf1\xef\xf9\xc6\xfc\xf9\xf2\xf1\xf7\xfb\xbd\xf7\xef\xee\xee\xef\xa2\xf6\xf3\xe9\xf2\xf4\xf8\xe1\xfc\xf3\xf7\xfa\xff\x7f\xfc\xf5\xfa\xfc\xffs\xff\xf8\xfc\xfd\xfew\xff\xfa',,False
884,1658418831555,1658418831576.0,1658418831580.0,b'\xf7\xfa\xf9\xf3\xf1\xef\xf9\xc6\xfc\xf9\xf2\xf1\xf7\xfb\xbd\xf7\xef\xee\xee\xef\xa2\xf6\xf3\xe9\xf2\xf4\xf8\xe1\xfc\xf3\xf7\xfa\xff\x7f\xfc\xf5\xfa\xfc\xffs\xff\xf8\xfc\xfd\xfew\xff\xfa',2.0,True
885,1658418831590,,,b'\xf9\xfa\xf9\xf2\xf1\xe9\xab\xf8\xfa\xf5\xf1\xf0\xf9\xa0\xfe\xfb\xf3\xf0\xf5\xfb\x81\xfb\xf3\xef\xf0\xf8\xb0\xfe\xf8\xef\xf4\xf9\xf5\xcf\xfc\xf4\xf7\xfb\xfd\x7f\xfe\xf8\xfa\xfe\xff|\xff\xfb',,False
886,1658418831590,1658418831618.0,1658418831632.0,b'\xf9\xfa\xf9\xf2\xf1\xe9\xab\xf8\xfa\xf5\xf1\xf0\xf9\xa0\xfe\xfb\xf3\xf0\xf5\xfb\x81\xfb\xf3\xef\xf0\xf8\xb0\xfe\xf8\xef\xf4\xf9\xf5\xcf\xfc\xf4\xf7\xfb\xfd\x7f\xfe\xf8\xfa\xfe\xff|\xff\xfb',2.0,True
887,1658418831624,,,b'\xf9\xfa\xf9\xf2\xf1\xe9\xab\xf8\xfa\xf5\xf1\xf0\xf9\xa0\xfe\xfb\xf3\xf0\xf5\xfb\x81\xfb\xf3\xef\xf0\xf8\xb0\xfe\xf8\xef\xf4\xf9\xf5\xcf\xfc\xf4\xf7\xfb\xfd\x7f\xfe\xf8\xfa\xfe\xff|\xff\xfb',,False
888,1658418831624,1658418831635.0,1658418831649.0,b'\xf9\xfa\xf9\xf2\xf1\xe9\xab\xf8\xfa\xf5\xf1\xf0\xf9\xa0\xfe\xfb\xf3\xf0\xf5\xfb\x81\xfb\xf3\xef\xf0\xf8\xb0\xfe\xf8\xef\xf4\xf9\xf5\xcf\xfc\xf4\xf7\xfb\xfd\x7f\xfe\xf8\xfa\xfe\xff|\xff\xfb',2.0,True
889,1658418831641,,,b'\xf9\xfa\xf9\xf2\xf1\xe9\xab\xf8\xfa\xf5\xf1\xf0\xf9\xa0\xfe\xfb\xf3\xf0\xf5\xfb\x81\xfb\xf3\xef\xf0\xf8\xb0\xfe\xf8\xef\xf4\xf9\xf5\xcf\xfc\xf4\xf7\xfb\xfd\x7f\xfe\xf8\xfa\xfe\xff|\xff\xfb',,False
890,1658418831641,1658418831652.0,1658418831666.0,b'\xf9\xfa\xf9\xf2\xf1\xe9\xab\xf8\xfa\xf5\xf1\xf0\xf9\xa0\xfe\xfb\xf3\xf0\xf5\xfb\x81\xfb\xf3\xef\xf0\xf8\xb0\xfe\xf8\xef\xf4\xf9\xf5\xcf\xfc\xf4\xf7\xfb\xfd\x7f\xfe\xf8\xfa\xfe\xff|\xff\xfb',2.0,True
891,1658418831659,,,b'\xf9\xfa\xf9\xf2\xf1\xe9\xab\xf8\xfa\xf5\xf1\xf0\xf9\xa0\xfe\xfb\xf3\xf0\xf5\xfb\x81\xfb\xf3\xef\xf0\xf8\xb0\xfe\xf8\xef\xf4\xf9\xf5\xcf\xfc\xf4\xf7\xfb\xfd\x7f\xfe\xf8\xfa\xfe\xff|\xff\xfb',,False
892,1658418831659,1658418831667.0,1658418831682.0,b'\xf9\xfa\xf9\xf2\xf1\xe9\xab\xf8\xfa\xf5\xf1\xf0\xf9\xa0\xfe\xfb\xf3\xf0\xf5\xfb\x81\xfb\xf3\xef\xf0\xf8\xb0\xfe\xf8\xef\xf4\xf9\xf5\xcf\xfc\xf4\xf7\xfb\xfd\x7f\xfe\xf8\xfa\xfe\xff|\xff\xfb',2.0,True
893,1658418831673,,,b'\xf9\xfb\xfa\xf5\xf0\xe6\xae\xf8\xf9\xf6\xf2\xf0\xf8\x95\xff\xfc\xf4\xf1\xf8\xfc\x89\xfe\xf6\xf2\xf3\xf6\xac\xfb\xf8\xf2\xf4\xf7\xfa\xb9\xf9\xf2\xf8\xfa\xfd~\xfd\xf7\xfc\xfc\xff\x80\xff\xfa',,False
894,1658418831673,1658418831682.0,1658418831697.0,b'\xf9\xfb\xfa\xf5\xf0\xe6\xae\xf8\xf9\xf6\xf2\xf0\xf8\x95\xff\xfc\xf4\xf1\xf8\xfc\x89\xfe\xf6\xf2\xf3\xf6\xac\xfb\xf8\xf2\xf4\xf7\xfa\xb9\xf9\xf2\xf8\xfa\xfd~\xfd\xf7\xfc\xfc\xff\x80\xff\xfa',2.0,True
895,1658418831688,,,b'\xf9\xfb\xfa\xf5\xf0\xe6\xae\xf8\xf9\xf6\xf2\xf0\xf8\x95\xff\xfc\xf4\xf1\xf8\xfc\x89\xfe\xf6\xf2\xf3\xf6\xac\xfb\xf8\xf2\xf4\xf7\xfa\xb9\xf9\xf2\xf8\xfa\xfd~\xfd\xf7\xfc\xfc\xff\x80\xff\xfa',,False
896,1658418831688,1658418831696.0,1658418831712.0,b'\xf9\xfb\xfa\xf5\xf0\xe6\xae\xf8\xf9\xf6\xf2\xf0\xf8\x95\xff\xfc\xf4\xf1\xf8\xfc\x89\xfe\xf6\xf2\xf3\xf6\xac\xfb\xf8\xf2\xf4\xf7\xfa\xb9\xf9\xf2\xf8\xfa\xfd~\xfd\xf7\xfc\xfc\xff\x80\xff\xfa',2.0,True
897,1658418831707,,,b'\xf9\xfb\xfa\xf5\xf0\xe6\xae\xf8\xf9\xf6\xf2\xf0\xf8\x95\xff\xfc\xf4\xf1\xf8\xfc\x89\xfe\xf6\xf2\xf3\xf6\xac\xfb\xf8\xf2\xf4\xf7\xfa\xb9\xf9\xf2\xf8\xfa\xfd~\xfd\xf7\xfc\xfc\xff\x80\xff\xfa',,False
898,1658418831707,1658418831737.0,1658418831736.0,b'\xf9\xfb\xfa\xf5\xf0\xe6\xae\xf8\xf9\xf6\xf2\xf0\xf8\x95\xff\xfc\xf4\xf1\xf8\xfc\x89\xfe\xf6\xf2\xf3\xf6\xac\xfb\xf8\xf2\xf4\xf7\xfa\xb9\xf9\xf2\xf8\xfa\xfd~\xfd\xf7\xfc\xfc\xff\x80\xff\xfa',2.0,True
899,1658418831772,,,b'\xf9\xfb\xfa\xf5\xf0\xe6\xae\xf8\xf9\xf6\xf2\xf0\xf8\x95\xff\xfc\xf4\xf1\xf8\xfc\x89\xfe\xf6\xf2\xf3\xf6\xac\xfb\xf8\xf2\xf4\xf7\xfa\xb9\xf9\xf2\xf8\xfa\xfd~\xfd\xf7\xfc\xfc\xff\x80\xff\xfa',,False
900,1658418831772,1658418831843.0,1658418831798.0,b'\xf9\xfb\xfa\xf5\xf0\xe6\xae\xf8\xf9\xf6\xf2\xf0\xf8\x95\xff\xfc\xf4\xf1\xf8\xfc\x89\xfe\xf6\xf2\xf3\xf6\xac\xfb\xf8\xf2\xf4\xf7\xfa\xb9\xf9\xf2\xf8\xfa\xfd~\xfd\xf7\xfc\xfc\xff\x80\xff\xfa',2.0,True
901,1658418831940,,,b'\xf7\xfa\xf9\xf4\xf0\xe7\xa9\xf9\xfa\xf6\xf0\xf0\xf9\x8f\xfe\xfc\xf3\xf1\xf9\xfc\x8e\xfe\xf5\xf2\xf4\xfa\x9f\xff\xf7\xf2\xf3\xf7\xf9\xbc\xf9\xf2\xf6\xfa\xfd\x81\xfd\xf6\xfa\xfe\xff\x82\xff\xf9',,False
